diff,expected_message,prompt_style,inference_message
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,zero_shot,Fix: Close input streams when encountering an unknown file extension in ResourceFactory.
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,conventional,fix: Close resources on unknown extension in ResourceFactory
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,imperative,Close input streams when resource type is unknown.
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,minimal,"Fix: Close streams on unknown extension

Closes input stream and random access file stream when an unknown extension is encountered to prevent resource leaks."
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,detailed,"Fix: Close resources on unknown file extension in ResourceFactory

This commit addresses a resource leak in the `ResourceFactory` class. Specifically, when the factory encounters a file with an unknown extension (i.e., not "".arc"", "".arc.gz"", "".warc"", or "".warc.gz""), it throws a `ResourceNotAvailableException` but fails to close the underlying `InputStream` (`is`) and `RandomAccessFile` (`raf`).

This commit adds the following lines before throwing the exception:

```java
is.close();
raf.close();
```

This ensures that the resources associated with the file are properly closed, preventing potential resource leaks and improving the stability of the application."
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",zero_shot,Update expected AUC and single score values for LOCI test due to code changes.
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",conventional,"fix: Fix AUC and outlier score in TestLOCI

The test values were slightly off."
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",imperative,Update LOCI test to reflect score changes
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",minimal,"Fix: Adjust LOCI test expectations

The AUC and single score expectations in the LOCI test were updated to reflect changes in the algorithm's behavior."
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",detailed,"Fix: Update expected AUC and single score values for LOCI test

The expected AUC and single score values in the TestLOCI test class were outdated, causing the test to fail. This commit updates these values to reflect the current output of the LOCI algorithm. The changes are based on re-running the test and observing the actual output."
