diff,expected_message,prompt_style,inference_message
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,zero_shot,Close input stream and random access file in ResourceFactory to prevent resource leaks.
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,conventional,fix: Close input stream and random access file in ResourceFactory to prevent resource leaks
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,imperative,Close input stream and random access file before throwing exception
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,minimal,Close input stream and random access file before throwing exception
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,detailed,Close input stream and random access file when resource is not available
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",zero_shot,Update LOCI test results with improved AUC and single score values.
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",conventional,fix: Update test results in TestLOCI.java
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",imperative,Update LOCI test scores for improved accuracy.
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",minimal,Update LOCI test results.
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",detailed,Update test assertions in TestLOCI.java for improved accuracy.
