diff,expected_message,prompt_style,inference_message
"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,feature,Add resource cleanup on unknown extension exception.
"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",feature,Update LOCI test results with improved AUC and single score values.
"diff --git a/rapidoid-platform/src/main/java/org/rapidoid/deploy/AppDeployer.java b/rapidoid-platform/src/main/java/org/rapidoid/deploy/AppDeployer.java
index <HASH>..<HASH> 100644
--- a/rapidoid-platform/src/main/java/org/rapidoid/deploy/AppDeployer.java
+++ b/rapidoid-platform/src/main/java/org/rapidoid/deploy/AppDeployer.java
@@ -65,7 +65,7 @@ public class AppDeployer extends RapidoidThing {
 			""java"",
 			""-cp"", CLASSPATH,
 			""org.rapidoid.platform.DefaultApp"",
-			""root=/app"",
+			""root="" + Env.root(),
 			""mode="" + Env.mode().name().toLowerCase()
 		};",Pass the correct root when running an application.,feature,Add dynamic root path generation based on environment variable in AppDeployer.
"diff --git a/structr-core/src/main/java/org/structr/core/script/Scripting.java b/structr-core/src/main/java/org/structr/core/script/Scripting.java
index <HASH>..<HASH> 100644
--- a/structr-core/src/main/java/org/structr/core/script/Scripting.java
+++ b/structr-core/src/main/java/org/structr/core/script/Scripting.java
@@ -428,6 +428,9 @@ public class Scripting {
 					if (o instanceof ExternalPtr) {
 
 						listResult.add(((ExternalPtr)o).getInstance());
+					} else {
+
+						listResult.add(o);
 					}
 				}",Fixes issue with PyList results in Python engine results.,feature,Add support for adding non-ExternalPtr objects to listResult in Scripting.java.
"diff --git a/drivers/pax-exam-player/src/main/java/org/ops4j/pax/exam/player/Player.java b/drivers/pax-exam-player/src/main/java/org/ops4j/pax/exam/player/Player.java
index <HASH>..<HASH> 100644
--- a/drivers/pax-exam-player/src/main/java/org/ops4j/pax/exam/player/Player.java
+++ b/drivers/pax-exam-player/src/main/java/org/ops4j/pax/exam/player/Player.java
@@ -114,5 +114,6 @@ public class Player {
                 fail( t.getMessage() );
             }
         }
+        stagedReactor.tearDown();
     }
 }",PAXEXAM-<I> Bugfixed missing tearDown call.,feature,Add staged reactor tear down functionality to Player class.
"diff --git a/src/com/google/javascript/rhino/Node.java b/src/com/google/javascript/rhino/Node.java
index <HASH>..<HASH> 100644
--- a/src/com/google/javascript/rhino/Node.java
+++ b/src/com/google/javascript/rhino/Node.java
@@ -2650,7 +2650,7 @@ public class Node implements Serializable {
    */
   public final void setSideEffectFlags(int flags) {
     checkArgument(
-        this.getToken() == Token.CALL || this.getToken() == Token.NEW,
+        this.isCall() || this.isNew(),
         ""setIsNoSideEffectsCall only supports CALL and NEW nodes, got %s"",
         this.getToken());","Simplify expressions involving Rhino Nodes #2

-------------
Created by MOE: <URL>",feature,Refactored setSideEffectFlags method to use isCall and isNew methods for improved readability.
"diff --git a/src/main/java/com/j256/ormlite/db/SqlServerDatabaseType.java b/src/main/java/com/j256/ormlite/db/SqlServerDatabaseType.java
index <HASH>..<HASH> 100644
--- a/src/main/java/com/j256/ormlite/db/SqlServerDatabaseType.java
+++ b/src/main/java/com/j256/ormlite/db/SqlServerDatabaseType.java
@@ -135,7 +135,8 @@ public class SqlServerDatabaseType extends BaseDatabaseType {
 
 	@Override
 	public void appendInsertNoColumns(StringBuilder sb) {
-		sb.append(""DEFAULT VALUES"");
+		// may be: sb.append(""DEFAULT VALUES"");
+		super.appendInsertNoColumns(sb);
 	}
 
 	/**","Switched back to the default because I can't verify if this is a problem
currently.",feature,Refactored appendInsertNoColumns method to call super method for improved code consistency.
"diff --git a/liquibase-core/src/main/java/liquibase/change/ChangeFactory.java b/liquibase-core/src/main/java/liquibase/change/ChangeFactory.java
index <HASH>..<HASH> 100644
--- a/liquibase-core/src/main/java/liquibase/change/ChangeFactory.java
+++ b/liquibase-core/src/main/java/liquibase/change/ChangeFactory.java
@@ -146,7 +146,7 @@ public class ChangeFactory {
         }
 
         try {
-            return classes.iterator().next().getConstructor().newInstance();
+            return classes.iterator().next().getConstructor().getConstructor().newInstance();
         } catch (Exception e) {
             throw new UnexpectedLiquibaseException(e);
         }","Call Class.getConstructor.newInstance instead of newInstance

(cherry picked from commit <I>bfcf<I>f<I>e<I>a<I>cb<I>f6c<I>e8db4e)",feature,Added support for getting constructor with parameters in ChangeFactory.
"diff --git a/h2o-algos/src/main/java/hex/word2vec/Word2VecModel.java b/h2o-algos/src/main/java/hex/word2vec/Word2VecModel.java
index <HASH>..<HASH> 100644
--- a/h2o-algos/src/main/java/hex/word2vec/Word2VecModel.java
+++ b/h2o-algos/src/main/java/hex/word2vec/Word2VecModel.java
@@ -36,7 +36,7 @@ public class Word2VecModel extends Model<Word2VecModel, Word2VecParameters, Word
   }
 
   @Override
-  public ModelMojoWriter getMojo() {
+  public Word2VecMojoWriter getMojo() {
     return new Word2VecMojoWriter(this);
   }","word2vec, fix MOJO writer - it needs to return a concrete implementation",feature,Add Word2VecMojoWriter functionality to getMojo method.
"diff --git a/src/frontend/org/voltdb/RealVoltDB.java b/src/frontend/org/voltdb/RealVoltDB.java
index <HASH>..<HASH> 100644
--- a/src/frontend/org/voltdb/RealVoltDB.java
+++ b/src/frontend/org/voltdb/RealVoltDB.java
@@ -1145,7 +1145,7 @@ public class RealVoltDB implements VoltDBInterface, RestoreAgent.Callback
         String buildInfo[] = extractBuildInfo();
         m_versionString = buildInfo[0];
         m_buildString = buildInfo[1];
-        hostLog.info(String.format(""Build: %s %s %s"", m_versionString, m_buildString, editionTag));
+        consoleLog.info(String.format(""Build: %s %s %s"", m_versionString, m_buildString, editionTag));
     }
 
     /**",ENG-<I> Add buildstring to console output.,feature,Add console logging for build information in RealVoltDB class.
