diff,expected_message,prompt_style,inference_message
"diff --git a/src/Illuminate/Mail/Mailer.php b/src/Illuminate/Mail/Mailer.php
index <HASH>..<HASH> 100755
--- a/src/Illuminate/Mail/Mailer.php
+++ b/src/Illuminate/Mail/Mailer.php
@@ -61,6 +61,13 @@ class Mailer {
 	protected $failedRecipients = array();
 
 	/**
+	 * The QueueManager instance.
+	 *
+	 * @var \Illuminate\Queue\QueueManager
+	 */
+	protected $queue;
+
+	/**
 	 * Create a new Mailer instance.
 	 *
 	 * @param  \Illuminate\View\Environment  $views","Update Mailer.php

added missing class property",feature,Add QueueManager instance property to Mailer for queuing mail functionality integration
"diff --git a/src/None.php b/src/None.php
index <HASH>..<HASH> 100644
--- a/src/None.php
+++ b/src/None.php
@@ -36,6 +36,10 @@ class None extends Maybe
      */
     public function get(callable $codeBlock = null)
     {
+        if (is_callable($codeBlock)) {
+            return $codeBlock(null);
+        }
+
         return null;
     }
 }",added callback support to None monad,feature,Add support for optional callable in None::get() to handle null value before returning null.
"diff --git a/extensions/bootstrap/ActiveField.php b/extensions/bootstrap/ActiveField.php
index <HASH>..<HASH> 100644
--- a/extensions/bootstrap/ActiveField.php
+++ b/extensions/bootstrap/ActiveField.php
@@ -153,7 +153,7 @@ class ActiveField extends \yii\widgets\ActiveField
     {
         $layoutConfig = $this->createLayoutConfig($config);
         $config = ArrayHelper::merge($layoutConfig, $config);
-        return parent::__construct($config);
+        parent::__construct($config);
     }
 
     /**",No need to return from __construct,feature,Fix constructor call in ActiveField to correctly initialize with merged configuration without returning value
"diff --git a/includes/managers/class-fs-key-value-storage.php b/includes/managers/class-fs-key-value-storage.php
index <HASH>..<HASH> 100755
--- a/includes/managers/class-fs-key-value-storage.php
+++ b/includes/managers/class-fs-key-value-storage.php
@@ -263,6 +263,16 @@
 				$default;
 		}
 
+        /**
+         * @author Vova Feldman (@svovaf)
+         * @since  1.2.4
+         *
+         * @return string
+         */
+		function get_secondary_id() {
+            return $this->_secondary_id;
+        }
+
 
 		/* ArrayAccess + Magic Access (better for refactoring)
         -----------------------------------------------------------------------------------*/",[multisite] [key-value-storage] Expose the secondary ID as a public method.,feature,Add get_secondary_id() method to retrieve the secondary ID in FS_Key_Value_Storage class
"diff --git a/lang/en/message.php b/lang/en/message.php
index <HASH>..<HASH> 100644
--- a/lang/en/message.php
+++ b/lang/en/message.php
@@ -52,6 +52,7 @@ $string['errorcallingprocessor'] = 'Error calling defined processor';
 $string['formorethan'] = 'For more than';
 $string['guestnoeditmessage'] = 'Guest user can not edit messaging options';
 $string['guestnoeditmessageother'] = 'Guest user can not edit other user messaging options';
+$string['gotomessages'] = 'Go to messages';
 $string['includeblockedusers'] = 'Include blocked users';
 $string['incomingcontacts'] = 'Incoming contacts ({$a})';
 $string['keywords'] = 'Keywords';",messaging MDL-<I> added a new string,feature,Added new language string 'gotomessages' with the value 'Go to messages' to the English message file.
"diff --git a/concrete/blocks/date_navigation/controller.php b/concrete/blocks/date_navigation/controller.php
index <HASH>..<HASH> 100644
--- a/concrete/blocks/date_navigation/controller.php
+++ b/concrete/blocks/date_navigation/controller.php
@@ -112,6 +112,13 @@ class Controller extends BlockController
 
     public function save($data)
     {
+        $data += [
+            'redirectToResults' => 0,
+            'cTargetID' => 0,
+            'filterByParent' => 0,
+            'cParentID' => 0,
+            'ptID' => 0,
+        ];
         if ($data['redirectToResults']) {
             $data['cTargetID'] = intval($data['cTargetID']);
         } else {",Avoid accessing undefined array indexes in date_navigation block controller,feature,"Add new save options for redirectToResults, target page, parent filtering, and page type ID in date navigation block controller"
"diff --git a/src/BittrexAPI.php b/src/BittrexAPI.php
index <HASH>..<HASH> 100644
--- a/src/BittrexAPI.php
+++ b/src/BittrexAPI.php
@@ -106,6 +106,18 @@ class BittrexAPI
     public function getMarkets() {

         return $this->publicRequest('getmarkets');

     }

+

+

+    /**

+     * Used to retrieve the latest trades that have occurred for a specific market.

+     *

+     * @return array

+     */

+    public function getMarketHistory($market) {

+        return $this->publicRequest('getmarkethistory', [

+            'market' => $market

+        ]);

+    }","add getmarkethistory

- Reason(s):

- Change(s):
  - BittrexAPI.php

- Reference(s):
  - <URL>",feature,Add getMarketHistory method to retrieve latest trades for a specific market in BittrexAPI class
"diff --git a/src/Jobby/BackgroundJob.php b/src/Jobby/BackgroundJob.php
index <HASH>..<HASH> 100644
--- a/src/Jobby/BackgroundJob.php
+++ b/src/Jobby/BackgroundJob.php
@@ -208,8 +208,14 @@ class BackgroundJob
      */
     protected function isFunction()
     {
+        $isSerialized = ($str == serialize(false) || @unserialize($str) !== false);
+        
+        if (!$isSerialized) {
+            return false;
+        }
+        
         $cmd = unserialize($this->config['command']);
-        return !is_null($cmd) && $cmd instanceof SerializableClosure;
+        return is_object($cmd) && $cmd instanceof SerializableClosure;
     }
 
     /**","Small fix with isFunction

Forget to see what unserialize returns in case of error (<URL>)",feature,Add check to verify if command is a serialized SerializableClosure before unserializing in BackgroundJob::isFunction() method
"diff --git a/lang/en_utf8/grades.php b/lang/en_utf8/grades.php
index <HASH>..<HASH> 100644
--- a/lang/en_utf8/grades.php
+++ b/lang/en_utf8/grades.php
@@ -14,7 +14,7 @@ $string['addoutcomeitem'] = 'Add outcome item';
 $string['aggregateextracreditmean'] = 'Mean of grades (with extra credits)';
 $string['aggregatemean'] = 'Mean of grades';
 $string['aggregatemedian'] = 'Median of grades';
-$string['aggregatemin'] = 'Smallest grade';
+$string['aggregatemin'] = 'Lowest grade';
 $string['aggregatemax'] = 'Highest grade';
 $string['aggregatemode'] = 'Mode of grades';
 $string['aggregateonlygraded'] = 'Aggregate only non-empty grades';",Merged string fix from stable <I>,feature,"Updated the language string for 'aggregatemin' from ""Smallest grade"" to ""Lowest grade"" for clearer grade description."
"diff --git a/lib/models/datastores/Mysql.php b/lib/models/datastores/Mysql.php
index <HASH>..<HASH> 100644
--- a/lib/models/datastores/Mysql.php
+++ b/lib/models/datastores/Mysql.php
@@ -329,12 +329,12 @@ class Mysql extends SqlDatabase
     
     public function begin()
     {
-        //self::$db->autocommit(false);
+        $this->query(""START TRANSACTION"");
     }
     
     public function end()
     {
-        //self::$db->commit();
+        $this->query(""COMMIT"");
     }
 
     protected function limit($limitParams)",Put in transaction support for mysql,feature,Changed transaction handling in Mysql datastore to use explicit START TRANSACTION and COMMIT queries instead of autocommit methods.
"diff --git a/lib/Rails/Routing/UrlHelpers/UrlHelpers.php b/lib/Rails/Routing/UrlHelpers/UrlHelpers.php
index <HASH>..<HASH> 100755
--- a/lib/Rails/Routing/UrlHelpers/UrlHelpers.php
+++ b/lib/Rails/Routing/UrlHelpers/UrlHelpers.php
@@ -138,7 +138,7 @@ class UrlHelpers
                 return false;
             });
             
-            if ($index) {
+            if ($index !== false) {
                 $route = $this->router()->routes()->routes()->offsetGet($index);
                 if ($model) {
                     $params = $this->extract_route_vars_from_model($route, $model);",fixed evaluating index 0 as false,feature,Fix route lookup condition to correctly handle index zero in UrlHelpers.php for accurate route retrieval
"diff --git a/concrete/src/Editor/CkeditorEditor.php b/concrete/src/Editor/CkeditorEditor.php
index <HASH>..<HASH> 100644
--- a/concrete/src/Editor/CkeditorEditor.php
+++ b/concrete/src/Editor/CkeditorEditor.php
@@ -335,8 +335,7 @@ EOL;
      */
     public function requireEditorAssets()
     {
-        $this->assets->requireAsset('core/file-manager');
-        $this->assets->requireAsset('editor/ckeditor4');
+        $this->assets->requireAsset('ckeditor');
 
         $plugins = $this->pluginManager->getSelectedPluginObjects();",Making CKEditor work again in <I> branch,feature,Simplify asset loading by replacing 'core/file-manager' and 'editor/ckeditor4' with a single 'ckeditor' asset requirement.
"diff --git a/Tests/Functional/Configuration/PageFinderTest.php b/Tests/Functional/Configuration/PageFinderTest.php
index <HASH>..<HASH> 100644
--- a/Tests/Functional/Configuration/PageFinderTest.php
+++ b/Tests/Functional/Configuration/PageFinderTest.php
@@ -19,12 +19,12 @@ class PageFinderTest extends FunctionalTestCase
     /**
      * @var \Tx_Oelib_TestingFramework
      */
-    private $testingFramework;
+    private $testingFramework = null;
 
     /**
      * @var \Tx_Oelib_PageFinder
      */
-    private $subject;
+    private $subject = null;
 
     protected function setUp()
     {","[CLEANUP] Add missing null initializations to the page finder test (#<I>)

[ci skip]",feature,Initialize $testingFramework and $subject properties to null in PageFinderTest for clarity and consistency.
"diff --git a/code/dispatcher/response/transport/stream.php b/code/dispatcher/response/transport/stream.php
index <HASH>..<HASH> 100644
--- a/code/dispatcher/response/transport/stream.php
+++ b/code/dispatcher/response/transport/stream.php
@@ -176,7 +176,7 @@ class DispatcherResponseTransportStream extends DispatcherResponseTransportHttp
      */
     public function sendContent(DispatcherResponseInterface $response)
     {
-        if ($response->isSuccess())
+        if ($response->isSuccess() && $response->isStreamable())
         {
             //For a certain unmentionable browser
             if(ini_get('zlib.output_compression')) {",#<I>: Make sure response is streamable first,feature,Add streamability check to sendContent method to ensure content is sent only if response is successful and streamable
"diff --git a/app/SymfonyRequirements.php b/app/SymfonyRequirements.php
index <HASH>..<HASH> 100644
--- a/app/SymfonyRequirements.php
+++ b/app/SymfonyRequirements.php
@@ -678,7 +678,7 @@ class SymfonyRequirements extends RequirementCollection
         if (class_exists('PDO')) {
             $drivers = PDO::getAvailableDrivers();
             $this->addRecommendation(
-                count($drivers),
+                count($drivers) > 0,
                 sprintf('PDO should have some drivers installed (currently available: %s)', count($drivers) ? implode(', ', $drivers) : 'none'),
                 'Install <strong>PDO drivers</strong> (mandatory for Doctrine).'
             );",Fixed tiny Scrutinizer-CI issue - already merged the fix upstream.,feature,Change PDO driver recommendation to check for presence of drivers instead of count value in Symfony requirements.
"diff --git a/Server.php b/Server.php
index <HASH>..<HASH> 100644
--- a/Server.php
+++ b/Server.php
@@ -5,6 +5,7 @@ namespace React\Socket;
 use Evenement\EventEmitter;
 use React\EventLoop\LoopInterface;
 
+// Events: connection
 class Server extends EventEmitter implements ServerInterface
 {
     public $master;
diff --git a/ServerInterface.php b/ServerInterface.php
index <HASH>..<HASH> 100644
--- a/ServerInterface.php
+++ b/ServerInterface.php
@@ -4,6 +4,7 @@ namespace React\Socket;
 
 use Evenement\EventEmitterInterface;
 
+// Events: connection
 interface ServerInterface extends EventEmitterInterface
 {
     public function listen($port, $host = '127.0.0.1');",Document events at the top of each EventEmitter class,feature,Add 'connection' event annotation to Server and ServerInterface for improved event documentation
"diff --git a/page.php b/page.php
index <HASH>..<HASH> 100755
--- a/page.php
+++ b/page.php
@@ -1,6 +1,5 @@
 <?php
 /**
- * Template Name: Blog Archive
  * Author: Coby Tamayo
  */
 
@@ -10,4 +9,3 @@ $data = $site->get_context_with_post( new Project\Page() );
 // Render the default view
 Timber::render( 'page.twig', $data );
 
-?>
\ No newline at end of file","let page.php show up as ""Default"" page template",feature,"Removed the ""Template Name: Blog Archive"" comment from page.php to update the template metadata."
"diff --git a/src/Refinery29.php b/src/Refinery29.php
index <HASH>..<HASH> 100644
--- a/src/Refinery29.php
+++ b/src/Refinery29.php
@@ -9,7 +9,7 @@
 
 namespace Refinery29\CS\Config;
 
-use Symfony\CS\Config;
+use PhpCsFixer\Config;
 
 class Refinery29 extends Config
 {
diff --git a/test/Refinery29Test.php b/test/Refinery29Test.php
index <HASH>..<HASH> 100644
--- a/test/Refinery29Test.php
+++ b/test/Refinery29Test.php
@@ -9,8 +9,8 @@
 
 namespace Refinery29\CS\Config\Test;
 
+use PhpCsFixer\ConfigInterface;
 use Refinery29\CS\Config\Refinery29;
-use Symfony\CS\ConfigInterface;
 
 class Refinery29Test extends \PHPUnit_Framework_TestCase
 {",Fix: Namespace Symfony\CS has been renamed to PhpCsFixer,feature,refactor: replace Symfony CS Config and ConfigInterface with PhpCsFixer equivalents in Refinery29 and its tests
