hash,diff,message,project,split,diff_languages
87d21045800ca09b5187f9fd9e71984cb07d9c7c,"diff --git a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
index <HASH>..<HASH> 100644
--- a/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
+++ b/wayback-core/src/main/java/org/archive/wayback/resourcestore/resourcefile/ResourceFactory.java
@@ -179,6 +179,8 @@ public class ResourceFactory {
 			r = WARCArchiveRecordToResource(reader.get(), reader);
 
 		} else {
+			is.close();
+			raf.close();
 			throw new ResourceNotAvailableException(""Unknown extension"");
 		}",Dealt with a small resource leak.,iipc_openwayback,val,java
b5f441388c42ca05c140c7d0e808613c4f5f4a71,"diff --git a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
index <HASH>..<HASH> 100644
--- a/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
+++ b/test/de/lmu/ifi/dbs/elki/algorithm/outlier/TestLOCI.java
@@ -55,7 +55,7 @@ public class TestLOCI extends AbstractSimpleAlgorithmTest implements JUnit4Test 
     // run LOCI on database
     OutlierResult result = loci.run(db);
 
-    testAUC(db, ""Noise"", result, 0.954444);
-    testSingleScore(result, 146, 4.14314916);
+    testAUC(db, ""Noise"", result, 0.96222222);
+    testSingleScore(result, 146, 3.8054382);
   }
 }
\ No newline at end of file","Update unit test, score has slightly improved.",elki-project_elki,train,java
38cb83bc410825404ffe365a5775964ea3cd8ae2,"diff --git a/rapidoid-platform/src/main/java/org/rapidoid/deploy/AppDeployer.java b/rapidoid-platform/src/main/java/org/rapidoid/deploy/AppDeployer.java
index <HASH>..<HASH> 100644
--- a/rapidoid-platform/src/main/java/org/rapidoid/deploy/AppDeployer.java
+++ b/rapidoid-platform/src/main/java/org/rapidoid/deploy/AppDeployer.java
@@ -65,7 +65,7 @@ public class AppDeployer extends RapidoidThing {
 			""java"",
 			""-cp"", CLASSPATH,
 			""org.rapidoid.platform.DefaultApp"",
-			""root=/app"",
+			""root="" + Env.root(),
 			""mode="" + Env.mode().name().toLowerCase()
 		};",Pass the correct root when running an application.,rapidoid_rapidoid,train,java
cf5fbb6afca77822ae1c3453aaa4eff08f9fed06,"diff --git a/structr-core/src/main/java/org/structr/core/script/Scripting.java b/structr-core/src/main/java/org/structr/core/script/Scripting.java
index <HASH>..<HASH> 100644
--- a/structr-core/src/main/java/org/structr/core/script/Scripting.java
+++ b/structr-core/src/main/java/org/structr/core/script/Scripting.java
@@ -428,6 +428,9 @@ public class Scripting {
 					if (o instanceof ExternalPtr) {
 
 						listResult.add(((ExternalPtr)o).getInstance());
+					} else {
+
+						listResult.add(o);
 					}
 				}",Fixes issue with PyList results in Python engine results.,structr_structr,train,java
e37230e47462ade22174ab0d0ee60228b0980bb2,"diff --git a/drivers/pax-exam-player/src/main/java/org/ops4j/pax/exam/player/Player.java b/drivers/pax-exam-player/src/main/java/org/ops4j/pax/exam/player/Player.java
index <HASH>..<HASH> 100644
--- a/drivers/pax-exam-player/src/main/java/org/ops4j/pax/exam/player/Player.java
+++ b/drivers/pax-exam-player/src/main/java/org/ops4j/pax/exam/player/Player.java
@@ -114,5 +114,6 @@ public class Player {
                 fail( t.getMessage() );
             }
         }
+        stagedReactor.tearDown();
     }
 }",PAXEXAM-<I> Bugfixed missing tearDown call.,ops4j_org.ops4j.pax.exam2,train,java
1fb0ab08efc1a4def17e91a275f28179b993b273,"diff --git a/src/com/google/javascript/rhino/Node.java b/src/com/google/javascript/rhino/Node.java
index <HASH>..<HASH> 100644
--- a/src/com/google/javascript/rhino/Node.java
+++ b/src/com/google/javascript/rhino/Node.java
@@ -2650,7 +2650,7 @@ public class Node implements Serializable {
    */
   public final void setSideEffectFlags(int flags) {
     checkArgument(
-        this.getToken() == Token.CALL || this.getToken() == Token.NEW,
+        this.isCall() || this.isNew(),
         ""setIsNoSideEffectsCall only supports CALL and NEW nodes, got %s"",
         this.getToken());","Simplify expressions involving Rhino Nodes #2

-------------
Created by MOE: <URL>",google_closure-compiler,train,java
6c9d81a864d8344754fcd79fd641a2ec65bc90a2,"diff --git a/src/main/java/com/j256/ormlite/db/SqlServerDatabaseType.java b/src/main/java/com/j256/ormlite/db/SqlServerDatabaseType.java
index <HASH>..<HASH> 100644
--- a/src/main/java/com/j256/ormlite/db/SqlServerDatabaseType.java
+++ b/src/main/java/com/j256/ormlite/db/SqlServerDatabaseType.java
@@ -135,7 +135,8 @@ public class SqlServerDatabaseType extends BaseDatabaseType {
 
 	@Override
 	public void appendInsertNoColumns(StringBuilder sb) {
-		sb.append(""DEFAULT VALUES"");
+		// may be: sb.append(""DEFAULT VALUES"");
+		super.appendInsertNoColumns(sb);
 	}
 
 	/**","Switched back to the default because I can't verify if this is a problem
currently.",j256_ormlite-jdbc,train,java
a7fa6c780a686def86968fd802c5a1b40d117069,"diff --git a/liquibase-core/src/main/java/liquibase/change/ChangeFactory.java b/liquibase-core/src/main/java/liquibase/change/ChangeFactory.java
index <HASH>..<HASH> 100644
--- a/liquibase-core/src/main/java/liquibase/change/ChangeFactory.java
+++ b/liquibase-core/src/main/java/liquibase/change/ChangeFactory.java
@@ -146,7 +146,7 @@ public class ChangeFactory {
         }
 
         try {
-            return classes.iterator().next().getConstructor().newInstance();
+            return classes.iterator().next().getConstructor().getConstructor().newInstance();
         } catch (Exception e) {
             throw new UnexpectedLiquibaseException(e);
         }","Call Class.getConstructor.newInstance instead of newInstance

(cherry picked from commit <I>bfcf<I>f<I>e<I>a<I>cb<I>f6c<I>e8db4e)",liquibase_liquibase,train,java
c61a7db0482eea751d0f7e78577031d30e5d204f,"diff --git a/h2o-algos/src/main/java/hex/word2vec/Word2VecModel.java b/h2o-algos/src/main/java/hex/word2vec/Word2VecModel.java
index <HASH>..<HASH> 100644
--- a/h2o-algos/src/main/java/hex/word2vec/Word2VecModel.java
+++ b/h2o-algos/src/main/java/hex/word2vec/Word2VecModel.java
@@ -36,7 +36,7 @@ public class Word2VecModel extends Model<Word2VecModel, Word2VecParameters, Word
   }
 
   @Override
-  public ModelMojoWriter getMojo() {
+  public Word2VecMojoWriter getMojo() {
     return new Word2VecMojoWriter(this);
   }","word2vec, fix MOJO writer - it needs to return a concrete implementation",h2oai_h2o-3,train,java
87c8cdd44730e189bb0633092832546f8789e608,"diff --git a/src/frontend/org/voltdb/RealVoltDB.java b/src/frontend/org/voltdb/RealVoltDB.java
index <HASH>..<HASH> 100644
--- a/src/frontend/org/voltdb/RealVoltDB.java
+++ b/src/frontend/org/voltdb/RealVoltDB.java
@@ -1145,7 +1145,7 @@ public class RealVoltDB implements VoltDBInterface, RestoreAgent.Callback
         String buildInfo[] = extractBuildInfo();
         m_versionString = buildInfo[0];
         m_buildString = buildInfo[1];
-        hostLog.info(String.format(""Build: %s %s %s"", m_versionString, m_buildString, editionTag));
+        consoleLog.info(String.format(""Build: %s %s %s"", m_versionString, m_buildString, editionTag));
     }
 
     /**",ENG-<I> Add buildstring to console output.,VoltDB_voltdb,val,java
0244dd91d93e864a99218c6cce35308447703e95,"diff --git a/src/main/java/dtest/actions/ExecuteRegex.java b/src/main/java/dtest/actions/ExecuteRegex.java
index <HASH>..<HASH> 100644
--- a/src/main/java/dtest/actions/ExecuteRegex.java
+++ b/src/main/java/dtest/actions/ExecuteRegex.java
@@ -37,6 +37,8 @@ public class ExecuteRegex extends TestAction {
             for (int groupNumber = 0; groupNumber <= matcher.groupCount(); groupNumber++) {

                 this.writeOutput(String.format(""group%d"", groupNumber), matcher.group(groupNumber));

             }

+        } else {

+            throw new RuntimeException(""The regular expression didn't match the specified text."");

         }

     }

 }",fix(ExecuteRegex): properly handle failed match,mcdcorp_opentest,train,java
80b8133de6b1d72cab85a947a4008220d4df0135,"diff --git a/src/main/java/com/semanticcms/autogit/servlet/AutoGit.java b/src/main/java/com/semanticcms/autogit/servlet/AutoGit.java
index <HASH>..<HASH> 100644
--- a/src/main/java/com/semanticcms/autogit/servlet/AutoGit.java
+++ b/src/main/java/com/semanticcms/autogit/servlet/AutoGit.java
@@ -22,9 +22,9 @@
  */
 package com.semanticcms.autogit.servlet;
 
+import com.aoindustries.exception.WrappedException;
 import com.aoindustries.lang.ProcessResult;
 import com.aoindustries.lang.Strings;
-import com.aoindustries.util.WrappedException;
 import com.semanticcms.autogit.model.GitStatus;
 import com.semanticcms.autogit.model.State;
 import com.semanticcms.autogit.model.UncommittedChange;","Moved a few exceptions to the new com.aoindustries.exception package:

NotImplementedException
WrappedException
WrappedExceptions",aoindustries_semanticcms-autogit-servlet,train,java
c2ce24c078a9d06fc2f02d21efaf9d1f69552221,"diff --git a/src/tuwien/auto/calimero/mgmt/Destination.java b/src/tuwien/auto/calimero/mgmt/Destination.java
index <HASH>..<HASH> 100644
--- a/src/tuwien/auto/calimero/mgmt/Destination.java
+++ b/src/tuwien/auto/calimero/mgmt/Destination.java
@@ -164,6 +164,10 @@ public class Destination
 		 */
 		public void run()
 		{
+			// with keep-alive we do not disconnect on timeout
+			if (d.alive)
+				return;
+
 			final int state = d.getState();
 			if (state != DISCONNECTED && state != DESTROYED)
 				try {",Add partial implementation of keep-alive to not disconnect on timeout,calimero-project_calimero-core,train,java
4d5c866be2e5a40f12b6ca11bf7fad70348ea715,"diff --git a/alib/src/main/java/net/darkmist/alib/collection/MemCachedStaticSet.java b/alib/src/main/java/net/darkmist/alib/collection/MemCachedStaticSet.java
index <HASH>..<HASH> 100644
--- a/alib/src/main/java/net/darkmist/alib/collection/MemCachedStaticSet.java
+++ b/alib/src/main/java/net/darkmist/alib/collection/MemCachedStaticSet.java
@@ -12,7 +12,7 @@ public class MemCachedStaticSet<T> extends MemCachedRef<Set<T>> implements Set<T
 {
 	protected final T[] array;
 
-	public MemCachedStaticSet(T[] array)
+	public MemCachedStaticSet(T...array)
 	{
 		this.array = array;
 	}",change MemCachedStaticSet to take vargs instead of just an array,schallee_alib4j,train,java
d9deb4ef4ad97138c5288bf87e41b1c60d80d3c2,"diff --git a/src/main/java/com/github/susom/database/Schema.java b/src/main/java/com/github/susom/database/Schema.java
index <HASH>..<HASH> 100644
--- a/src/main/java/com/github/susom/database/Schema.java
+++ b/src/main/java/com/github/susom/database/Schema.java
@@ -844,7 +844,11 @@ public class Schema {
     for (Table table : tables) {
       for (Index index : table.indexes) {
         Sql sql = new Sql();
-        sql.append(""create index "");
+        sql.append(""create "");
+        if (index.unique) {
+          sql.append(""unique "");
+        }
+        sql.append(""index "");
         sql.append(index.name);
         sql.append("" on "");
         sql.append(table.name);",Actually create unique indexes when Index.unique() is called,susom_database,train,java
83c49284a660ad20a0a7c4ca5c8df9378a1f1c39,"diff --git a/src/java/azkaban/executor/ExecutableFlow.java b/src/java/azkaban/executor/ExecutableFlow.java
index <HASH>..<HASH> 100644
--- a/src/java/azkaban/executor/ExecutableFlow.java
+++ b/src/java/azkaban/executor/ExecutableFlow.java
@@ -89,7 +89,8 @@ public class ExecutableFlow extends ExecutableFlowBase {
 	protected void setFlow(Project project, Flow flow) {
 		super.setFlow(project, flow);
 		executionOptions = new ExecutionOptions();
-
+		executionOptions.setMailCreator(flow.getMailCreator());
+		
 		if (flow.getSuccessEmails() != null) {
 			executionOptions.setSuccessEmails(flow.getSuccessEmails());
 		}",Fixed bug in ExecutableFlow where we were not setting the MailCreator (which messed up Reportal reports),azkaban_azkaban,val,java
ea22979f708734e74c31a01c22934e40017abece,"diff --git a/stats/src/main/java/io/airlift/stats/PauseMeter.java b/stats/src/main/java/io/airlift/stats/PauseMeter.java
index <HASH>..<HASH> 100644
--- a/stats/src/main/java/io/airlift/stats/PauseMeter.java
+++ b/stats/src/main/java/io/airlift/stats/PauseMeter.java
@@ -98,7 +98,7 @@ public class PauseMeter
 
                 long pauseNanos = delta - shortestObservableInterval;
                 synchronized (histogram) {
-                    histogram.recordValueWithExpectedInterval(pauseNanos, sleepNanos);
+                    histogram.recordValue(pauseNanos);
                     totalPauseNanos += pauseNanos;
                 }
             }","Don't compensate for ""lost"" measurements

It produces non-intuitive results when measuring actual
pauses.",airlift_airlift,test,java
173cd87170a27ca7360c7456d887b6303f209713,"diff --git a/main/java/uk/co/real_logic/sbe/xml/XmlSchemaParser.java b/main/java/uk/co/real_logic/sbe/xml/XmlSchemaParser.java
index <HASH>..<HASH> 100644
--- a/main/java/uk/co/real_logic/sbe/xml/XmlSchemaParser.java
+++ b/main/java/uk/co/real_logic/sbe/xml/XmlSchemaParser.java
@@ -64,8 +64,6 @@ public class XmlSchemaParser
         throws Exception
     {
         final DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
-        factory.setXIncludeAware(true);
-        factory.setNamespaceAware(true);
 
         final String xsdFilename = System.getProperty(SbeTool.VALIDATION_XSD);
         if (xsdFilename != null)",Removed validation of xml namespaces and xinclude.,real-logic_simple-binary-encoding,test,java
4023efad7bc732dc3dccaf31a300c877ca1cc893,"diff --git a/drools-compiler/src/main/java/org/drools/compiler/kie/builder/impl/KieBuilderImpl.java b/drools-compiler/src/main/java/org/drools/compiler/kie/builder/impl/KieBuilderImpl.java
index <HASH>..<HASH> 100644
--- a/drools-compiler/src/main/java/org/drools/compiler/kie/builder/impl/KieBuilderImpl.java
+++ b/drools-compiler/src/main/java/org/drools/compiler/kie/builder/impl/KieBuilderImpl.java
@@ -300,7 +300,7 @@ public class KieBuilderImpl
         return getKieModule(false);
     }
 
-    KieModule getKieModuleIgnoringErrors() {
+    public KieModule getKieModuleIgnoringErrors() {
         return getKieModule(true);
     }",allow to get the KieModule from the InternalKieBuilder even if there are errors,kiegroup_drools,val,java
1fb36ce77eb1868ba72439be8b22748618156195,"diff --git a/src-setup/org/opencms/setup/CmsAutoSetup.java b/src-setup/org/opencms/setup/CmsAutoSetup.java
index <HASH>..<HASH> 100644
--- a/src-setup/org/opencms/setup/CmsAutoSetup.java
+++ b/src-setup/org/opencms/setup/CmsAutoSetup.java
@@ -111,6 +111,7 @@ public class CmsAutoSetup {
                 System.out.println(e.getMessage());

                 System.out.println(""Please have a look into the opencms log file for detailed information."");

                 LOG.error(e.getMessage(), e);

+                System.exit(1);

             }

         } else {

             System.out.println("""");","Changed return code to 1 for the case where errors happen during
auto-setup.",alkacon_opencms-core,test,java
