hash,diff,message,project,split,diff_languages
aaa9a3152bf1aa9098167f9c013581439b484df6,"diff --git a/lib/util/index.js b/lib/util/index.js
index <HASH>..<HASH> 100644
--- a/lib/util/index.js
+++ b/lib/util/index.js
@@ -843,7 +843,7 @@ function readRuleList(rule, callback, isJson) {
   }
   var len = rule.list && rule.list.length;
   var isBin = protoMgr.isBinProtocol(rule.name);
-  var readFile = fm[(isBin || isJson) ? 'readFile' : 'readFileText'];
+  var readFile = fm[(isBin && !isJson) ? 'readFile' : 'readFileText'];
   if (!len) {
     return readRuleValue(rule, readFile, isJson ? function(value) {
       callback(parseJSON(value));",feat: support matching multiple rules with the same name,avwo_whistle,train,js
4a828c93d40eb67b2041b08bbed0f1973442bd03,"diff --git a/src/event.js b/src/event.js
index <HASH>..<HASH> 100644
--- a/src/event.js
+++ b/src/event.js
@@ -652,13 +652,15 @@ var withinElement = function( event ) {
 
 	// Firefox sometimes assigns relatedTarget a XUL element
 	// which we cannot access the parentNode property of
+	// Chrome does something similar, the parentNode property
+	// can be accessed but is null.
 	try {
 		// Traverse up the tree
 		while ( parent && parent !== this ) {
 			parent = parent.parentNode;
 		}
 
-		if ( parent !== this ) {
+		if ( parent && parent !== this ) {
 			// set the correct event type
 			event.type = event.data;","Make sure that mousing over Chrome ""internal div"" elements results in no trigger of a mouseleave. Fixes #<I>.",jquery_jquery,train,js
e4074ced6c9a008da5dcd91a511a487fffc71668,"diff --git a/packages/toolkit/bin/index.js b/packages/toolkit/bin/index.js
index <HASH>..<HASH> 100755
--- a/packages/toolkit/bin/index.js
+++ b/packages/toolkit/bin/index.js
@@ -13,7 +13,7 @@ process.on('unhandledRejection', err => {
 });
 
 var chalk = require('chalk');
-const packageJson = require('../package.json');
+var packageJson = require('../package.json');
 
 var currentNodeVersion = process.versions.node;
 var semver = currentNodeVersion.split('.');
@@ -30,7 +30,7 @@ if (major < 8) {
   process.exit(1);
 }
 
-const main = require('../src');
+var main = require('../src');
 
 main(process).catch(error => {
   console.error(error);",fix(toolkit): rename const to var,carbon-design-system_toolkit,train,js
2e06e39d4132d277a0fa846888ac65a205ab0f4a,"diff --git a/lib/fields/api.js b/lib/fields/api.js
index <HASH>..<HASH> 100644
--- a/lib/fields/api.js
+++ b/lib/fields/api.js
@@ -112,7 +112,7 @@ ApiField = new Class({
 		} else if ( name && name in obj ){
 			return cb && cb( null, obj[ name ] );
 		}else if( this.options.hasOwnProperty( 'default' ) ){
-			return cb && cb( null, isFunction( this.default ) ? this.default( obj ) : this.default );
+			return cb && cb( null, isFunction( this.default ) ? this.default( bundle.data ) : this.default );
 		} else if( this.options.nullable ){
 			return cb && cb( null, null );
 		} else {","set bundle.data during hydration to default functions

object is the thing being populated. we want to use
the raw data",node-tastypie_tastypie,test,js
3eb9b5e9d760e84d279898a6226d1bcf537bf488,"diff --git a/web/ui/src/app.js b/web/ui/src/app.js
index <HASH>..<HASH> 100644
--- a/web/ui/src/app.js
+++ b/web/ui/src/app.js
@@ -73,7 +73,7 @@ controlplane.
         });
         $translateProvider.preferredLanguage('en_US');
         $translateProvider.fallbackLanguage('en_US');
-        $translateProvider.useSanitizeValueStrategy('sanitize');
+        $translateProvider.useSanitizeValueStrategy('sanitizeParameters');
     }]).
     config(['CacheFactoryProvider', function(CacheFactoryProvider){
         angular.extend(CacheFactoryProvider.defaults, {",Fix translations using words with diacritics and diaresis,control-center_serviced,train,js
528882be538a1c7ffc8888ad414f2da505d3401f,"diff --git a/Tone/source/UserMedia.js b/Tone/source/UserMedia.js
index <HASH>..<HASH> 100644
--- a/Tone/source/UserMedia.js
+++ b/Tone/source/UserMedia.js
@@ -109,11 +109,13 @@ define([""Tone/core/Tone"", ""Tone/component/Volume"", ""Tone/core/AudioNode""], funct
 			//do getUserMedia
 			var constraints = {
 				audio : {
-					""deviceId"" : device.deviceId,
 					""echoCancellation"" : false,
 					""sampleRate"" : this.context.sampleRate
 				}
 			};
+			if (device){
+				constraints.audio.deviceId = device.deviceId;				
+			}
 			return navigator.mediaDevices.getUserMedia(constraints).then(function(stream){
 				//start a new source only if the previous one is closed
 				if (!this._stream){",does not require device and deviceId in gUM,Tonejs_Tone.js,test,js
36f13482c58c81dc1669583696c10cebf5c53a2d,"diff --git a/mode/stex/stex.js b/mode/stex/stex.js
index <HASH>..<HASH> 100644
--- a/mode/stex/stex.js
+++ b/mode/stex/stex.js
@@ -103,7 +103,7 @@
       // Do we look like '\command' ?  If so, attempt to apply the plugin 'command'
       if (source.match(/^\\[a-zA-Z@]+/)) {
         var cmdName = source.current().slice(1);
-        plug = plugins[cmdName] || plugins[""DEFAULT""];
+        plug = plugins.hasOwnProperty(cmdName) ? plugins[cmdName] : plugins[""DEFAULT""];
         plug = new plug();
         pushCommand(state, plug);
         setState(state, beginParams);",[sTeX mode] Ensured that tag does not clash with object prototype properties,codemirror_CodeMirror,train,js
e92f7db651917425a0f493a98e6b3dbd7008a131,"diff --git a/NavigationSample/Scripts/navigation.mvc.js b/NavigationSample/Scripts/navigation.mvc.js
index <HASH>..<HASH> 100644
--- a/NavigationSample/Scripts/navigation.mvc.js
+++ b/NavigationSample/Scripts/navigation.mvc.js
@@ -177,7 +177,7 @@
             if (path) {

                 for (var i = 0; i < path.length - 1; i++) {

                     var resp = cache[path[i] + '&' + path[i + 1]];

-                    handleRespone(null, resp);

+                    handleRespone({}, resp);

                 }

             } else

                 refreshAjax(newLink, null, false, null, e.state);",Better to have an empty request instead of null. Easier for consumer of api,grahammendick_navigation,train,js
b7a8bdc86423e72c7b458b8e2425cc4088266b51,"diff --git a/node_modules_build/kwf-webpack/config/webpack.kwf.config.js b/node_modules_build/kwf-webpack/config/webpack.kwf.config.js
index <HASH>..<HASH> 100644
--- a/node_modules_build/kwf-webpack/config/webpack.kwf.config.js
+++ b/node_modules_build/kwf-webpack/config/webpack.kwf.config.js
@@ -102,7 +102,7 @@ module.exports = {
             }
         },{
             enforce: 'post',
-            test: /\.(s?css|underscore\.tpl|jsx?)$/,
+            test: /\.(s?css|underscore\.tpl|jsx?|tsx?)$/,
             loader: path.resolve(__dirname, ""../loader/kwfup-loader"")+""?uniquePrefix=""+uniquePrefix,
         },{
             enforce: 'post',",use kwfUp loader also for typescript files (ts|tsx),koala-framework_koala-framework,train,js
c53ab23fc63df5ce01012744f5abc1ed1fbf6ad0,"diff --git a/media/boom/js/boom/tagAutocompleter.js b/media/boom/js/boom/tagAutocompleter.js
index <HASH>..<HASH> 100644
--- a/media/boom/js/boom/tagAutocompleter.js
+++ b/media/boom/js/boom/tagAutocompleter.js
@@ -35,8 +35,8 @@ $.widget('boom.tagAutocompleter', {
 			// Add a tag when the enter key is pressed.
 			// This allows us to add a tag which doesn't already exist.
 			if (e.which == 13) {
-				self._tagSelected($(this).val(), -1);
-				$(this).val('');
+				self._tagSelected(self.element.val(), -1);
+				self.element.val('');
 			}
 		});
 	},",Removed unnecessary calls to jQuery() in tagAutocompleter,boomcms_boom-core,train,js
