hash,diff,message,project,split,diff_languages
96831bd2281cd9f8d4a0b08b9be91e2129d06f32,"diff --git a/src/Illuminate/Mail/Mailer.php b/src/Illuminate/Mail/Mailer.php
index <HASH>..<HASH> 100755
--- a/src/Illuminate/Mail/Mailer.php
+++ b/src/Illuminate/Mail/Mailer.php
@@ -61,6 +61,13 @@ class Mailer {
 	protected $failedRecipients = array();
 
 	/**
+	 * The QueueManager instance.
+	 *
+	 * @var \Illuminate\Queue\QueueManager
+	 */
+	protected $queue;
+
+	/**
 	 * Create a new Mailer instance.
 	 *
 	 * @param  \Illuminate\View\Environment  $views","Update Mailer.php

added missing class property",laravel_framework,train,php
7ef7acb6f08489e842cc9caf0c721b3714d93e97,"diff --git a/src/None.php b/src/None.php
index <HASH>..<HASH> 100644
--- a/src/None.php
+++ b/src/None.php
@@ -36,6 +36,10 @@ class None extends Maybe
      */
     public function get(callable $codeBlock = null)
     {
+        if (is_callable($codeBlock)) {
+            return $codeBlock(null);
+        }
+
         return null;
     }
 }",added callback support to None monad,shrink0r_monatic,train,php
b6a9d33883afa4d4ea8dc13abf2323b9896da3ec,"diff --git a/extensions/bootstrap/ActiveField.php b/extensions/bootstrap/ActiveField.php
index <HASH>..<HASH> 100644
--- a/extensions/bootstrap/ActiveField.php
+++ b/extensions/bootstrap/ActiveField.php
@@ -153,7 +153,7 @@ class ActiveField extends \yii\widgets\ActiveField
     {
         $layoutConfig = $this->createLayoutConfig($config);
         $config = ArrayHelper::merge($layoutConfig, $config);
-        return parent::__construct($config);
+        parent::__construct($config);
     }
 
     /**",No need to return from __construct,yiisoft_yii-core,train,php
68637f39baed2cc4e52f3e1aba6a6dba2e8fbdb7,"diff --git a/includes/managers/class-fs-key-value-storage.php b/includes/managers/class-fs-key-value-storage.php
index <HASH>..<HASH> 100755
--- a/includes/managers/class-fs-key-value-storage.php
+++ b/includes/managers/class-fs-key-value-storage.php
@@ -263,6 +263,16 @@
 				$default;
 		}
 
+        /**
+         * @author Vova Feldman (@svovaf)
+         * @since  1.2.4
+         *
+         * @return string
+         */
+		function get_secondary_id() {
+            return $this->_secondary_id;
+        }
+
 
 		/* ArrayAccess + Magic Access (better for refactoring)
         -----------------------------------------------------------------------------------*/",[multisite] [key-value-storage] Expose the secondary ID as a public method.,Freemius_wordpress-sdk,train,php
98e8299c838015f3caab231bd994cc10ada9f471,"diff --git a/lang/en/message.php b/lang/en/message.php
index <HASH>..<HASH> 100644
--- a/lang/en/message.php
+++ b/lang/en/message.php
@@ -52,6 +52,7 @@ $string['errorcallingprocessor'] = 'Error calling defined processor';
 $string['formorethan'] = 'For more than';
 $string['guestnoeditmessage'] = 'Guest user can not edit messaging options';
 $string['guestnoeditmessageother'] = 'Guest user can not edit other user messaging options';
+$string['gotomessages'] = 'Go to messages';
 $string['includeblockedusers'] = 'Include blocked users';
 $string['incomingcontacts'] = 'Incoming contacts ({$a})';
 $string['keywords'] = 'Keywords';",messaging MDL-<I> added a new string,moodle_moodle,train,php
84898f741c707f136900551a7e95e23581daa41f,"diff --git a/concrete/blocks/date_navigation/controller.php b/concrete/blocks/date_navigation/controller.php
index <HASH>..<HASH> 100644
--- a/concrete/blocks/date_navigation/controller.php
+++ b/concrete/blocks/date_navigation/controller.php
@@ -112,6 +112,13 @@ class Controller extends BlockController
 
     public function save($data)
     {
+        $data += [
+            'redirectToResults' => 0,
+            'cTargetID' => 0,
+            'filterByParent' => 0,
+            'cParentID' => 0,
+            'ptID' => 0,
+        ];
         if ($data['redirectToResults']) {
             $data['cTargetID'] = intval($data['cTargetID']);
         } else {",Avoid accessing undefined array indexes in date_navigation block controller,concrete5_concrete5,train,php
e985388395e8d4b7e4d57aa4c253b673bdc4e196,"diff --git a/src/BittrexAPI.php b/src/BittrexAPI.php
index <HASH>..<HASH> 100644
--- a/src/BittrexAPI.php
+++ b/src/BittrexAPI.php
@@ -106,6 +106,18 @@ class BittrexAPI
     public function getMarkets() {

         return $this->publicRequest('getmarkets');

     }

+

+

+    /**

+     * Used to retrieve the latest trades that have occurred for a specific market.

+     *

+     * @return array

+     */

+    public function getMarketHistory($market) {

+        return $this->publicRequest('getmarkethistory', [

+            'market' => $market

+        ]);

+    }","add getmarkethistory

- Reason(s):

- Change(s):
  - BittrexAPI.php

- Reference(s):
  - <URL>",adman9000_laravel-bittrex,train,php
3c1afedd15fa27f1e5dd0e621beabaca21175928,"diff --git a/src/Jobby/BackgroundJob.php b/src/Jobby/BackgroundJob.php
index <HASH>..<HASH> 100644
--- a/src/Jobby/BackgroundJob.php
+++ b/src/Jobby/BackgroundJob.php
@@ -208,8 +208,14 @@ class BackgroundJob
      */
     protected function isFunction()
     {
+        $isSerialized = ($str == serialize(false) || @unserialize($str) !== false);
+        
+        if (!$isSerialized) {
+            return false;
+        }
+        
         $cmd = unserialize($this->config['command']);
-        return !is_null($cmd) && $cmd instanceof SerializableClosure;
+        return is_object($cmd) && $cmd instanceof SerializableClosure;
     }
 
     /**","Small fix with isFunction

Forget to see what unserialize returns in case of error (<URL>)",jobbyphp_jobby,train,php
9ddc09afe4eccc92f4aba05ddf616e74e30f5a25,"diff --git a/lang/en_utf8/grades.php b/lang/en_utf8/grades.php
index <HASH>..<HASH> 100644
--- a/lang/en_utf8/grades.php
+++ b/lang/en_utf8/grades.php
@@ -14,7 +14,7 @@ $string['addoutcomeitem'] = 'Add outcome item';
 $string['aggregateextracreditmean'] = 'Mean of grades (with extra credits)';
 $string['aggregatemean'] = 'Mean of grades';
 $string['aggregatemedian'] = 'Median of grades';
-$string['aggregatemin'] = 'Smallest grade';
+$string['aggregatemin'] = 'Lowest grade';
 $string['aggregatemax'] = 'Highest grade';
 $string['aggregatemode'] = 'Mode of grades';
 $string['aggregateonlygraded'] = 'Aggregate only non-empty grades';",Merged string fix from stable <I>,moodle_moodle,train,php
c57f21aad2af284c98744e028be7461960096fa6,"diff --git a/lib/models/datastores/Mysql.php b/lib/models/datastores/Mysql.php
index <HASH>..<HASH> 100644
--- a/lib/models/datastores/Mysql.php
+++ b/lib/models/datastores/Mysql.php
@@ -329,12 +329,12 @@ class Mysql extends SqlDatabase
     
     public function begin()
     {
-        //self::$db->autocommit(false);
+        $this->query(""START TRANSACTION"");
     }
     
     public function end()
     {
-        //self::$db->commit();
+        $this->query(""COMMIT"");
     }
 
     protected function limit($limitParams)",Put in transaction support for mysql,ntentan_ntentan,val,php
ed4fb32b08f2daabb9dd7c8552ac85d702a302f9,"diff --git a/lib/Rails/Routing/UrlHelpers/UrlHelpers.php b/lib/Rails/Routing/UrlHelpers/UrlHelpers.php
index <HASH>..<HASH> 100755
--- a/lib/Rails/Routing/UrlHelpers/UrlHelpers.php
+++ b/lib/Rails/Routing/UrlHelpers/UrlHelpers.php
@@ -138,7 +138,7 @@ class UrlHelpers
                 return false;
             });
             
-            if ($index) {
+            if ($index !== false) {
                 $route = $this->router()->routes()->routes()->offsetGet($index);
                 if ($model) {
                     $params = $this->extract_route_vars_from_model($route, $model);",fixed evaluating index 0 as false,railsphp_railsphp,train,php
